iter	Passed	Remaining
0	24	24675
1	57	28836
2	86	28834
3	115	28690
4	142	28452
5	170	28222
6	199	28332
7	228	28316
8	258	28450
9	291	28809
10	313	28224
11	341	28086
12	375	28489
13	405	28535
14	422	27752
15	452	27808
16	468	27089
17	491	26840
18	521	26913
19	548	26852
20	580	27060
21	612	27248
22	631	26829
23	662	26951
24	693	27046
25	723	27096
26	744	26819
27	776	26945
28	798	26720
29	822	26594
30	850	26597
31	877	26529
32	895	26238
33	913	25959
34	936	25829
35	967	25898
36	988	25733
37	1021	25871
38	1051	25910
39	1081	25958
40	1114	26075
41	1142	26068
42	1162	25863
43	1193	25926
44	1217	25831
45	1247	25868
46	1264	25648
47	1295	25696
48	1331	25833
49	1348	25619
50	1372	25544
51	1402	25570
52	1434	25631
53	1463	25632
54	1492	25651
55	1512	25503
56	1535	25407
57	1567	25452
58	1588	25339
59	1608	25197
60	1641	25270
61	1675	25350
62	1697	25248
63	1731	25318
64	1762	25353
65	1792	25363
66	1821	25366
67	1845	25300
68	1870	25242
69	1902	25280
70	1932	25286
71	1962	25295
72	1989	25257
73	2018	25257
74	2050	25284
75	2078	25274
76	2107	25267
77	2140	25299
78	2172	25329
79	2221	25544
80	2254	25576
81	2289	25633
82	2322	25655
83	2355	25690
84	2388	25715
85	2418	25708
86	2450	25714
87	2479	25695
88	2509	25688
89	2539	25681
90	2567	25651
91	2595	25611
92	2624	25591
93	2658	25621
94	2687	25598
95	2718	25600
96	2747	25578
97	2771	25506
98	2798	25470
99	2829	25462
100	2860	25459
101	2888	25427
102	2915	25391
103	2940	25337
104	2958	25217
105	2986	25188
106	3011	25136
107	3041	25118
108	3067	25073
109	3093	25025
110	3113	24937
111	3135	24859
112	3162	24826
113	3189	24790
114	3221	24790
115	3251	24776
116	3267	24663
117	3297	24644
118	3327	24631
119	3355	24604
120	3384	24583
121	3413	24563
122	3443	24554
123	3472	24532
124	3500	24505
125	3531	24499
126	3560	24473
127	3591	24469
128	3614	24403
129	3647	24407
130	3667	24331
131	3695	24303
132	3727	24296
133	3745	24206
134	3785	24253
135	3815	24237
136	3842	24202
137	3869	24170
138	3897	24140
139	3927	24126
140	3956	24104
141	3990	24110
142	4012	24048
143	4039	24015
144	4071	24005
145	4102	23996
146	4132	23978
147	4162	23960
148	4197	23971
149	4225	23945
150	4255	23926
151	4284	23903
152	4313	23877
153	4335	23817
154	4363	23786
155	4393	23769
156	4417	23717
157	4446	23695
158	4476	23677
159	4499	23622
160	4518	23547
161	4543	23501
162	4574	23489
163	4604	23473
164	4625	23408
165	4656	23393
166	4675	23320
167	4703	23292
168	4721	23216
169	4738	23134
170	4768	23116
171	4799	23104
172	4826	23072
173	4854	23047
174	4884	23028
175	4912	22998
176	4940	22974
177	4973	22968
178	4994	22905
179	5024	22887
180	5052	22860
181	5080	22835
182	5111	22821
183	5140	22794
184	5172	22786
185	5204	22775
186	5233	22753
187	5262	22728
188	5291	22707
189	5313	22651
190	5341	22624
191	5368	22594
192	5400	22580
193	5423	22531
194	5453	22513
195	5480	22481
196	5509	22457
197	5539	22438
198	5569	22416
199	5599	22399
200	5628	22375
201	5656	22346
202	5677	22291
203	5706	22267
204	5734	22240
205	5769	22236
206	5798	22214
207	5823	22175
208	5853	22155
209	5884	22138
210	5915	22119
211	5942	22086
212	5972	22068
213	6008	22069
214	6036	22040
215	6066	22020
216	6084	21953
217	6111	21922
218	6139	21893
219	6170	21875
220	6199	21852
